lambdacase-off.hs	invalid	-	rejects:GHC-51179
lambdacase-on.hs	valid	-XLambdaCase	accepts
multiwayif-off.hs	invalid	-	rejects:GHC-28985
multiwayif-on.hs	valid	-XMultiWayIf	accepts
lineartypes-off.hs	invalid	-	rejects:GHC-31574
lineartypes-on.hs	valid	-XLinearTypes	accepts
qualifieddo-off.hs	invalid	-	rejects:GHC-40280
qualifieddo-on.hs	valid	-XQualifiedDo	unjudged
blockarguments-off.hs	invalid	-	rejects:GHC-52095
blockarguments-on.hs	valid	-XBlockArguments	accepts
patternsynonyms-off.hs	invalid	-	rejects:GHC-94426
patternsynonyms-on.hs	valid	-XPatternSynonyms	accepts
templatehaskell-off.hs	invalid	-	rejects:GHC-47082
templatehaskell-on.hs	valid	-XTemplateHaskell	rejects:GHC-88464
arrows-off.hs	invalid	-	rejects:GHC-58481
arrows-on.hs	valid	-XArrows	rejects:GHC-88464
magichash-off.hs	invalid	-	rejects:GHC-58481
magichash-on.hs	valid	-XMagicHash	rejects:GHC-48099
implicitparams-off.hs	invalid	-	rejects:GHC-24180
implicitparams-on.hs	valid	-XImplicitParams	accepts
overloadedlabels-off.hs	invalid	-	rejects:GHC-58481
overloadedlabels-on.hs	valid	-XOverloadedLabels	rejects:GHC-39999
proc-as-identifier-plain.hs	valid	-	accepts
proc-as-identifier-arrows.hs	invalid	-XArrows	rejects:GHC-58481
recordwildcards-renamer.hs	valid	-	rejects:GHC-37132
derivingvia-renamer.hs	valid	-	rejects:GHC-87139
transformlistcomp-renamer.hs	valid	-	rejects:GHC-42026
garbage-operators.hs	invalid	-	rejects:GHC-58481
case-without-scrutinee.hs	invalid	-	rejects:GHC-58481
let-without-body.hs	invalid	-	rejects:GHC-58481
unclosed-paren.hs	invalid	-	rejects:GHC-58481
unclosed-string.hs	invalid	-	rejects:GHC-21231
unclosed-block-comment.hs	invalid	-	rejects:GHC-21231
where-without-decls-bad.hs	invalid	-	rejects:GHC-58481
data-no-constructor.hs	invalid	-	rejects:GHC-58481
bad-layout-dedent.hs	invalid	-	rejects:GHC-52095
stray-closing-brace.hs	invalid	-	rejects:GHC-58481
malformed-pragma.hs	invalid	-	rejects:GHC-68686
plain-module.hs	valid	-	accepts
no-module-header.hs	valid	-	rejects:GHC-67120
shebang.hs	valid	-	rejects:GHC-39999
pragma-in-file.hs	valid	-	accepts
plain-module.hs	valid	-XTotallyBogus	rejects:
lambdacase-off.hs	valid	-XTotallyBogus -XLambdaCase	rejects:
lambdacase-off.hs	valid	-XTypeInType -XLambdaCase	rejects:GHC-53692
